Date,ZINC,TIN,STEEL,NICKEL,MOLYBDENUM,LEAD,COBALT,COPPER,ALUMINIUM
2012-03-27,2014.25,22462.5,495,18027.5,30500,2042.25,30250,8574.5,2132.75
2012-03-28,2006.75,22425,480.5,17717.5,30500,2025,30750,8436.5,2137.75
2012-03-29,1986,22347.5,474.5,17402.5,30500,1999.5,31250,8470.25,2107
2012-03-30,2002.75,23175,495,17427.5,30500,1994.75,30500,8319.75,2098.25
2012-04-02,1971.75,22737.5,490,17777.5,30500,1981.5,30750,8400,2081.25
2012-04-03,1993.75,23087.5,477.5,18322.5,30500,1996.5,30750,8482.5,2090.5
2012-04-04,1986.25,22525,490,18032.5,30500,1986.75,31000,8511,2059.25
2012-04-05,1975.25,22487.5,495,17862.5,30500,1988.5,30250,8480.25,2053.5
2012-04-10,1997.75,22825,485,18007.5,33000,2020.25,30750,8359.75,2050.25
2012-04-11,1985.25,22625,495,17912.5,31500,2006.5,30500,8479.75,2035.75
2012-04-12,2020.75,22612.5,493.5,18197.5,31500,2044.75,31000,8479.5,2069.5
2012-04-13,2012.25,22637.5,490.5,18397.5,31500,2013.75,30500,8575.25,2045.75
2012-04-16,1989.75,21625,472.5,17942.5,31250,1993.5,30750,8451.25,2026.5
2012-04-17,1988.25,21225,490,17752.5,31250,2037.5,30750,8365.25,2040.25
2012-04-18,1980.5,21167.5,495,17715,31250,2018.5,30400,8255.75,2028.25
2012-04-19,1984.75,21057.5,476.25,17602.5,31250,2080.75,30375,8112.5,2016.25
2012-04-20,1999.25,21252.5,482,17745,31000,2072.5,30450,8182.5,2034.25
2012-04-23,1985.25,21062.5,485,17592.5,31125,2033.25,30150,8165.25,2011.25
2012-04-24,1988.25,21387.5,480,17597.5,31000,2065.75,30650,8053.75,2029.5
2012-04-25,1990.75,21675,475,17482.5,30750,2041.5,30500,8100.25,2039.75
2012-04-26,2012.25,22492.5,475,17962.5,30750,2039.25,30500,8082.5,2040.25
2012-04-27,2031.75,22402.5,480,18252.5,30750,2099.5,30500,8045.25,2068
2012-04-30,2039.25,22622.5,480,17832.5,30750,2086.5,30550,8120.25,2057.5
2012-05-01,2048.75,22700,487.5,17522.5,30750,2079.5,30550,8122.5,2066.5
2012-05-02,2028.25,22237.5,487,17427.5,30750,2082.5,30500,8193.75,2064.25
2012-05-03,2000.25,22002.5,466.5,17377.5,30750,2112.75,30625,8285.25,2047.25
2012-05-04,1995.5,21762.5,482.5,17367.5,30750,2126.75,31050,8355.5,2047.75
2012-05-08,1986.75,21337.5,489.5,17402.5,30500,2155.75,31100,8443.25,2025.75
2012-05-09,1935.5,20837.5,460,17027.5,30500,2150.25,30300,8529.25,1986.75
2012-05-10,1943.75,20642.5,458,17132.5,30500,2143.25,30500,8527.5,2003.25
2012-05-11,1935.25,20252.5,465,17022.5,30500,2104.25,30350,8400.5,1991.75
2012-05-14,1919.75,20262.5,430.25,16977.5,30500,2079.75,30250,8317,1981.5
2012-05-15,1917.75,20150,455,16982.5,30500,2077.25,30400,8295.75,1979
2012-05-16,1913,19777.5,457,16947.5,30000,2035.75,30400,8233.5,1994.25
2012-05-17,1883.25,19447.5,430,16905,30000,2062.75,30400,8088.5,1986.75
2012-05-18,1920.5,19387.5,430,17102.5,30000,2052.75,30400,8195.25,2016.25
2012-05-21,1901.75,19425,410.5,16772.5,30000,2026.25,30400,8079.75,2003.75
2012-05-22,1899.5,19457.5,420,17027.5,30000,2016.25,30250,7979.5,1996.25
2012-05-23,1872.5,19302.5,434.75,16877.5,30050,1972.5,30825,7853.5,1974.75
2012-05-24,1867.25,19652.5,380,16912.5,30050,1929.5,30600,7709.5,1968.5
2012-05-25,1892.5,19825,385.5,16977.5,29500,1949,30500,7707.5,1979.25
2012-05-28,1900.5,19852.5,401,16977.5,29500,1941.5,30500,7795.25,1980.25
2012-05-29,1905.25,20097.5,410.5,16882.5,29500,1928.25,30500,7800,1979.25
2012-05-30,1886.75,19802.5,399.75,16387.5,29600,1921,29975,7772.5,1957.25
2012-05-31,1898.75,19712.5,386,16372.5,29550,1933.5,30350,7630.25,1973.25
2012-06-01,1852.25,19327.5,395,16022.5,29500,1944.75,29500,7660,1936.5
2012-06-06,1896.75,19900,382.25,16057.5,29500,1933.25,30050,7695.25,1944.75
2012-06-07,1897.75,19615,360,16445,29500,1931,30050,7739,1946.75
2012-06-08,1873,19475,350,16332.5,29500,1912.25,30050,7685.25,1938.25
2012-06-11,1880.75,19862.5,340,16812.5,29500,1922.25,28250,7542.5,1943.25
2012-06-12,1877.75,19625,315,17082.5,29500,1880.25,28875,7516.5,1925.75
2012-06-13,1884.75,19507.5,375.25,17082.5,29500,1907.25,29600,7363.75,1923.75
2012-06-14,1886.25,19452.5,367.5,16762.5,29350,1915.75,30000,7459.25,1924.25
2012-06-15,1907.75,19552.5,355,16607.5,29200,1883.5,29725,7480.25,1914.25
2012-06-18,1894.25,19427.5,360,16622.5,29200,1894.75,29225,7251.25,1881.75
2012-06-19,1876.25,19497.5,350,16672.5,29000,1893.25,28750,7395.75,1878.25
2012-06-20,1885.75,19512.5,355,17037.5,28500,1882.5,26500,7383.75,1879.25
2012-06-21,1848,19192.5,360,16777.5,29250,1884.75,27550,7397.25,1841.75
2012-06-22,1798.75,18362.5,360.25,16267.5,28500,1914.25,27950,7376.25,1823.25
2012-06-25,1798.75,18775,360.25,16327.5,28500,1893.25,27250,7520.5,1816.75
2012-06-26,1794.25,18597.5,364,16252.5,28200,1885.25,27750,7475.25,1810.25
2012-06-27,1759.25,18535,366,16177.5,28200,1898.75,27850,7505.25,1810.25
2012-06-28,1799.25,18842.5,366.25,16367.5,28200,1841.5,28500,7555.25,1832.25
2012-06-29,1842.75,18762.5,364.25,16472.5,28200,1791.25,27500,7425.75,1834.25
2012-07-02,1874.75,18932.5,375,16572.5,28200,1792.25,29500,7319.5,1866.75
2012-07-03,1904.75,19127.5,365,17102.5,28000,1767.75,29000,7342.25,1910.5
2012-07-04,1896.75,19092.5,388,16990,28000,1743.5,28000,7346.5,1929.75
2012-07-05,1894.75,19197.5,390,16912.5,28000,1768.5,28000,7353.5,1914.25
2012-07-06,1854.75,18902.5,380,16457.5,27800,1795.75,28325,7420.5,1887.5
2012-07-09,1839.75,18587.5,385,16242.5,27800,1851.25,28250,7604.25,1876.25
2012-07-10,1852.25,18672.5,385,16177.5,27800,1900.25,28000,7647.25,1889.5
2012-07-11,1835.5,18732.5,385,16162.5,27000,1895.25,28000,7776.5,1872.25
2012-07-12,1832.75,18472.5,385,15837.5,27000,1901.25,27775,7695.25,1835.25
2012-07-13,1868.5,18787.5,400,16152.5,27000,1857,28075,7761,1861.25
2012-07-16,1857.25,18742.5,392.5,15957.5,27000,1839,27850,7597.5,1861.5
2012-07-17,1885.25,18862.5,387.5,16112.5,27000,1862.5,27750,7520.25,1888.25
2012-07-18,1852.25,18675,382.5,15982.5,27000,1861.25,28000,7555.5,1868.25
2012-07-19,1882.75,19237.5,395,16177.5,27000,1829,29750,7525.25,1908.75
2012-07-20,1850.5,18987.5,385,15820,27000,1874.25,28000,7507.5,1894.25
2012-07-23,1798.5,18452.5,400,15640,27000,1850.75,27750,7689,1835.25
2012-07-24,1799.75,17837.5,395,15602.5,27000,1888.5,27500,7635.5,1839.75
2012-07-25,1804.75,17775,385,15712.5,27000,1872.25,27500,7670.5,1846.5
2012-07-26,1808.5,17697.5,380,15927.5,27000,1920.25,27700,7595.5,1865.25
2012-07-27,1834.5,18200,380,15857.5,25500,1898.75,30250,7764.75,1859.75
2012-07-30,1840.25,18075,380,16017.5,25500,1850.25,30250,7622.5,1851.25
2012-07-31,1849.25,18217.5,380,15997.5,25500,1840.25,30750,7386.5,1862.25
2012-08-09,1844.75,18107.5,365,15447.5,25500,1848,29400,7395.75,1865.75
2012-08-10,1822,17875,355.5,15222.5,25500,1869,29400,7440.5,1834.5
2012-08-13,1820.25,17812.5,370,15310,25500,1907.25,27400,7510.25,1823.75
2012-08-14,1792.5,18112.5,360,15552.5,25500,1908.75,27700,7554.75,1812.75
2012-08-15,1781.75,18202.5,360.25,15227.5,24450,1946.25,27755,7519.5,1803.25
2012-08-16,1765.25,18002.5,357.5,15187.5,24450,1892.5,28375,7580.5,1793.25
2012-08-17,1778,18497.5,361.5,15432.5,24000,1888.75,28125,7495.25,1810.25
2012-08-20,1759.25,18400,352.5,15337.5,24000,1865.75,27950,7430.25,1798.5
2012-08-21,1799.25,18657.5,352.5,15607.5,24000,1862.25,28500,7426.25,1820.75
2012-08-22,1803.75,18822.5,342.5,15752.5,24250,1834.75,28250,7406.5,1828.5
2012-08-23,1829.25,19862.5,342.5,16132.5,24500,1816.25,28250,7385.5,1861.25
2012-08-24,1836.25,20317.5,350.25,16427.5,26000,1870.5,29500,7385.5,1871
2012-08-28,1847.25,20662.5,352.5,16205,26000,1870.75,29500,7495.75,1882.5
2012-08-29,1834.5,20275,347.5,16232.5,26500,1912.5,29250,7432,1872.5
2012-08-30,1832.25,19412.5,342.5,16275,26500,1904.75,29000,7509.75,1867.5
2012-08-31,1805.5,19642.5,341,15872.5,26500,1921.25,29125,7571.25,1848.75
2012-09-03,1835.75,19662.5,337.5,16102.5,24500,1941.5,29500,7667.25,1879.5
2012-09-04,1856.75,19657.5,327.5,16097.5,24500,1954,29500,7600.25,1927.25
2012-09-05,1844.25,19512.5,331.5,15832.5,23500,1958.5,29500,7605.75,1927.75
2012-09-06,1872.75,19557.5,317.5,16102.5,23500,1962.75,29425,7524.25,1962.5
2012-09-07,1914.75,19957.5,322.5,16152.5,23500,1963.25,29500,7610.75,1987.75
2012-09-10,1963.25,20262.5,322.5,16522.5,23500,1981.75,29500,7576.25,2031.75
2012-09-11,1976.25,20712.5,330,16622.5,23500,1998.75,29500,7649.25,2057
2012-09-12,1998.75,21025,322.5,16822.5,24000,1991.25,29375,7640.25,2074.25
2012-09-13,1984.25,20312.5,315.5,16677.5,24000,2035.75,29375,7606.25,2081.75
2012-09-14,2072.5,21412.5,325,17522.5,24000,2061.25,29375,7670.25,2176.75
2012-09-17,2053.75,21627.5,322.5,17952.5,24000,2117.25,26000,7843.75,2161.75
2012-09-18,2049.25,21302.5,320.5,17797.5,24000,2101.25,28000,8031.75,2152.5
2012-09-19,2104.75,21525,326,17777.5,23500,2120.25,28500,8079.75,2123.5
2012-09-20,2068.25,20562.5,332.5,17597.5,23500,2112.25,28500,8100.25,2095.5
2012-09-21,2096.75,21275,350,18002.5,23500,2243.25,29000,8055.25,2093.25
2012-09-24,2045.5,20407.5,350,17807.5,23500,2242.75,29000,8400.25,2058.5
2012-09-25,2091.5,21392.5,350.25,18272.5,23500,2234,28500,8292.75,2068.5
2012-09-26,2067.75,20992.5,345.5,17927.5,23500,2271.25,29750,8223.5,2048.5
2012-09-27,2051.75,20947.5,342.5,18152.5,23500,2228,28750,8322.75,2067.75
2012-09-28,2087.75,21652.5,355,18517.5,24250,2276.25,29750,8201,2093.75
2012-10-01,2037.25,21897.5,344.5,18477.5,23600,2241.25,29750,8281.75,2068.25
2012-10-02,2097.25,22107.5,335.25,18835,23500,2284,28100,8235.25,2103.75
2012-10-03,2055.75,22075,340,18617.5,23500,2272.75,27500,8130.25,2069.5
2012-10-04,2053.75,22227.5,343,18645,23000,2265.25,27750,8174,2087.5
2012-10-05,2031.75,22452.5,345,18562.5,23000,2299.75,27625,8267,2087.25
2012-10-08,2001.25,22097.5,340,17927.5,22500,2238.25,27650,8191.25,2046.25
2012-10-10,1951.75,21682.5,335,17732.5,23500,2314.5,27400,8339,1991.5
2012-10-11,1950.25,22037.5,330.5,17642.5,23500,2293.25,27400,8275.75,1992.25
2012-10-12,1900.25,21782.5,345,17232.5,23250,2308.25,27325,8324.5,1975
2012-10-15,1887.25,21225,324,17202.5,24500,2264.75,26500,8298,1949.75
2012-10-16,1875,21412.5,335,17027.5,23000,2242.5,27400,8132.75,1930.5
2012-10-18,1893.75,21775,340,17132.5,24000,2214.75,26500,8124.25,1971.25
2012-10-19,1863.5,21727.5,320,17002.5,24250,2207.5,26600,8211,1976.25
2012-10-22,1846.5,20952.5,310,16727.5,24000,2168.5,26740,8178.5,1932.25
2012-10-23,1796.5,20477.5,315,16182.5,24000,2138.75,26500,8129.5,1913.25
2012-10-24,1808.75,20362.5,315,16295,24500,2127.5,26000,8141,1906.75
2012-10-25,1821.25,20525,315,16402.5,24575,2166.5,25500,8209.5,1909.25
2012-10-26,1792.5,19912.5,345,16097.5,24500,2134.25,25250,8120.5,1899.25
2012-10-29,1784.5,19842.5,345,15867.5,24250,2093.25,25250,7983.25,1873.25
2012-10-30,1821.25,20067.5,350,15997.5,24750,2023.75,25125,7860.5,1884.25
2012-10-31,1835,20142.5,340,16232.5,24250,2019.75,24750,7860.25,1882.25
2012-11-01,1845.25,20447.5,335,16307.5,24250,2029.25,25300,7851.75,1908.25
2012-11-02,1850.75,20297.5,340,16137.5,24250,2001.5,25225,7764.75,1936.75
2012-11-05,1813.75,20172.5,317.5,15847.5,24500,2009.5,24875,7719.5,1883.75
2012-11-06,1841.75,20747.5,302.5,15972.5,24250,2064.25,24900,7759.75,1886.75
2012-11-07,1870.25,20587.5,305,15997.5,24250,2095.25,24550,7818.5,1900.5
2012-11-08,1888.25,20547.5,305,15957.5,24250,2122.75,23700,7810.75,1897.25
